robot_1/q_std,survival_rate,total_charges_per_episode,robot_0/q_std,mean_final_energy,robot_2/loss,episode_length,_runtime,robot_1/loss,robot_3/q_mean,total_kills_per_episode,total_agent_collisions_per_episode,_step,global_step,std_episode_reward,robot_0/loss,mean_episode_reward,episode,robot_3/loss,robot_3/q_std,_timestamp,robot_2/q_std,robot_0/q_mean,robot_2/q_mean,robot_1/q_mean
,,,,,0.21676120162010193,,2495.303172375,,,,,318,41000,,,,,,,1763376046.069887,1.2870205640792847,,19.51645278930664,
,4.0,0.0,,197.0,,500.0,2510.08566125,,,0.0,0.0,320,41321,5.386657126641634,,160.59500000000003,156.0,,,1763376060.8526561,,,,
,4.0,0.0,,134.0,,89.0,2519.54993125,,,0.0,0.0,321,41410,4.968049793430011,,28.727500000000013,157.0,,,1763376070.316787,,,,
,4.0,0.0,,197.0,,500.0,2543.582645875,,,0.0,0.0,322,41910,8.028399591450231,,165.72,158.0,,,1763376094.350194,,,,
,,,0.5663900971412659,,,,2547.904892375,,,,,323,42000,,0.022839613258838654,,,,,1763376098.6725702,,18.390117645263672,,
0.6327447891235352,,,,,,,2547.914896,0.006094440817832947,,,,324,42000,,,,,,,1763376098.682629,,,,18.14461326599121
,,,,,0.14001378417015076,,2547.924553167,,,,,325,42000,,,,,,,1763376098.692246,3.448293447494507,,19.350811004638672,
,,,,,,,2547.935579333,,18.239017486572266,,,326,42000,,,,,0.06509935110807419,0.5465772747993469,1763376098.703305,,,,
,4.0,0.0,,133.75,,380.0,2561.240283375,,,0.0,0.0,327,42290,8.010981525381293,,119.88500000000022,159.0,,,1763376112.008105,,,,
,,,0.536328136920929,,,,2595.098369458,,,,,330,43000,,0.017465591430664062,,,,,1763376145.866744,,18.517871856689453,,
,,,,,0.041979141533374786,,2595.120103125,,,,,332,43000,,,,,,,1763376145.888406,1.009631872177124,,20.402835845947266,
,,,,,,,2595.132495167,,18.58584976196289,,,333,43000,,,,,0.02688360959291458,0.8276698589324951,1763376145.9008992,,,,
,,,0.7165163159370422,,,,2642.230489625,,,,,337,44000,,0.01777816005051136,,,,,1763376192.999576,,18.89165496826172,,
,,,,,,,2642.265307083,,18.995582580566406,,,340,44000,,,,,0.037608612328767776,0.6101781129837036,1763376193.0344782,,,,
,4.0,0.0,,117.25,,481.0,2659.283037792,,,0.0,0.0,341,44364,7.677996157852679,,142.85500000000008,165.0,,,1763376210.051996,,,,
0.6468163132667542,,,,,,,2688.090375458,0.02026727795600891,,,,344,45000,,,,,,,1763376238.8603158,,,,19.059856414794922
,,,,,,,2688.109539708,,19.19138526916504,,,346,45000,,,,,0.014217153191566467,0.6950650811195374,1763376238.879472,,,,
,,,,,,,2734.7802295,,19.833587646484375,,,352,46000,,,,,0.13615339994430542,0.5473268032073975,1763376285.550894,,,,
